region,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
AB,0.3692,0.33,0.1869,0.1827,0.1921,0.2129,0.1471,0.1494,0.1536,0.1383,0.1308,0.1278,0.1193,0.1156,0.1131,0.1119,0.1127
BC,0.0033,0.0021,0.002,0.0017,0.0015,0.001,0.0009,0.0009,0.0012,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
MB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NB,0.2518,0.2418,0.2389,0.2405,0.2274,0.2272,0.2253,0.0762,0.0251,0.0237,0.0208,0.0155,0.0124,0.0071,0.0071,0.0071,0.0072
NL,0.0063,0.0094,0.0091,0.0092,0.0103,0.0092,0.0092,0.0105,0,0,0,0,0,0,0,0,0
NT,0.253,0.1455,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS,0.6618,0.6427,0.5601,0.5139,0.4824,0.4531,0.3709,0.1442,0.0846,0.0757,0.0659,0.059,0.0528,0.0451,0.0418,0.0383,0.0374
NU,0.8251,0.7989,0.7183,0.5775,0.5613,0.5375,0.5407,0.5338,0.5277,0.5159,0.5061,0.5165,0.5156,0.5255,0.5295,0.5352,0.5374
ON,0.0703,0.0813,0.0631,0.0844,0.0697,0.0849,0.0729,0.0667,0.0551,0.0534,0.0479,0.0407,0.0316,0.0288,0.0266,0.0249,0.0234
PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QC,0.0049,0.0005,0.0004,0.0004,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
SK,0.6156,0.5842,0.5802,0.5226,0.5209,0.5107,0.4048,0.3811,0.165,0.1578,0.1361,0.1289,0.1218,0.0975,0.0888,0.0855,0.0815
YT,0.1452,0.1598,0.1784,0.1115,0.126,0.1023,0.0786,0.0578,0.0394,0.0123,0.0005,0,0.0001,0.0006,0.0017,0.0047,0.0099
